eje,mae_deg,rmse_deg,max_abs_deg
A1,0.07451443336256992,0.09181734609310782,0.19632333723823567
A2,0.10455896289707309,0.12716297700786472,0.2427231820622211
A3,0.1420890925965673,0.1756705978820115,0.43172852762992875
A4,0.07500580962009688,0.09168654498923448,0.18223151350393893
A5,0.08705317014483892,0.10189434007338187,0.19424098490630826
A6,0.0894328036771873,0.10224569688822306,0.1789908492006358
