trajectory,sample,progress_percent,A1_deg,A2_deg,A3_deg,A4_deg,A5_deg,A6_deg,delta_A1_deg,delta_A2_deg,delta_A3_deg,delta_A4_deg,delta_A5_deg,delta_A6_deg,delta_norm_deg
16:41 P5 aux,20,30.303030303030305,-0.09536590553604957,-90.13432457494314,90.1118328637511,0.10487580904110169,64.45863728236822,0.07926746336172596,0.005740072253406933,0.008084993911069205,0.006731218191944777,0.006609691322854133,3.880000000000173,0.0047710470991789156,3.8800270715248253
16:41 P5 aux,21,31.818181818181817,-0.10110597778945524,-90.1424095688542,90.11856408194308,0.1114855003639544,68.33863728236753,0.08403851046090384,0.00574007225340567,0.008084993911069205,0.006731218191973198,0.006609691322852704,3.8799999999993133,0.004771047099177875,3.8800270715239655
16:41 P5 aux,22,33.333333333333336,-0.1068460500428609,-90.15049456276526,90.12529530013502,0.1180951916868071,72.21863728236683,0.08880955756008173,0.005740072253405656,0.008084993911054994,0.006731218191944777,0.006609691322852704,3.879999999999299,0.004771047099177889,3.8800270715239513
16:41 P5 aux,23,34.84848484848485,-0.11258612229626655,-90.15857955667632,90.132026518327,0.12470488300965978,76.09863728236614,0.09358060465925959,0.005740072253405656,0.008084993911054994,0.006731218191973198,0.006609691322852676,3.8799999999993133,0.004771047099177861,3.8800270715239655
16:41 P5 aux,24,36.36363636363637,-0.11803763637033393,-90.166258111257,90.13841935261357,0.13098229968335995,79.78358647352447,0.09811180727500624,0.005451514074067382,0.007678554580678565,0.006392834286572224,0.006277416673700173,3.6849491911583243,0.004531202615746646,3.6849749017750435
16:41 P5 aux,25,37.878787878787875,-0.12265447530268758,-90.1727610110479,90.1438333872875,0.13629858820430685,82.90433727015437,0.1019492425934394,0.004616838932353651,0.006502899790902461,0.005414034673933088,0.005316288520946899,3.120750796629906,0.003837435318433169,3.120772570723237
16:41 P5 aux,26,39.39393939393939,-0.12642368043550412,-90.17807000354887,90.1482534261022,0.14063882668225425,85.45213027165339,0.10508213960609657,0.0037692051328165332,0.005308992500971499,0.004420038814700433,0.0043402384779474,2.5477930014990164,0.0031328970126571626,2.547810777952895
16:41 P5 aux,27,40.90909090909091,-0.12934525176878367,-90.18218508875991,90.15167946905768,0.14400301511720218,87.42696547802154,0.10751049831297771,0.0029215713332795545,0.004115085211040537,0.0034260429554819893,0.003364188434947929,1.9748352063681551,0.0024283587068811424,1.9748489851825812
16:41 P5 aux,28,42.42424242424242,-0.13141918930252633,-90.18510626668102,90.15411151615392,0.14639115350915083,88.82884288925898,0.109234318714083,0.002073937533742659,0.0029211779211095745,0.0024320470962351237,0.002388138391948652,1.401877411237436,0.0017238204011052888,1.4018871924124097
16:41 P5 aux,29,43.93939393939394,-0.13264549303673198,-90.1868335373122,90.15554956739093,0.1478032418581001,89.65776250536555,0.11025360080941228,0.0012263037342056526,0.0017272706311786123,0.0014380512370166798,0.0014120883489492642,0.8289196161065746,0.0010192820953292825,0.8289253996420959
16:41 P5 aux,30,45.45454545454545,-0.13302536528804898,-90.18736859413784,90.15599503269098,0.14824066463127733,89.91453703189441,0.11056934394341705,0.0003798722513169983,0.0005350568256403676,0.0004454653000465214,0.0004374227731772373,0.2567745265288579,0.00031574313400477283,0.2567763180953334
16:41 P5 aux,31,46.96969696969697,-0.13302536528804898,-90.18736859413784,90.15599503269098,0.14824066463127733,89.91453703189441,0.11056934394341705,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16:41 P5 aux,32,48.484848484848484,-0.2553554884151836,-89.95346680513171,90.2122179105491,0.14566693314752166,89.628058134329,-0.013852548914737365,0.1223301231271346,0.23390178900612568,0.056222877858118636,0.00257373148375567,0.28647889756541645,0.12442189285815441,0.41278724324483174
16:41 P5 aux,33,50.0,-0.6223458577965871,-89.25176143811333,90.38088654412346,0.1379457386962547,88.76862144163276,-0.3871182274892002,0.36699036938140356,0.701705367018377,0.1686686335743559,0.007721194451266955,0.8594366926962351,0.37326567857446286,1.238361729734485
16:41 P5 aux,34,51.515151515151516,-1.2339964734322568,-88.08225249308268,90.66200093341402,0.12507708127747647,87.3362269538057,-1.0092276917799687,0.6116506156356697,1.1695089450306568,0.28111438929056476,0.01286865741877824,1.4323944878270538,0.6221094642907685,2.0639362162241492
16:41 P5 aux,35,53.03030303030303,-2.09030733532219,-86.44493997003978,91.05556107842085,0.10706096089118701,85.33087467084785,-1.8801809417870403,0.8563108618899333,1.637312523042894,0.39356014500683045,0.018016120386289455,2.0053522829578583,0.8709532500070716,2.8895107027137854
16:41 P5 aux,36,54.54545454545455,-3.191278375093568,-84.33982399971715,91.56156694771978,0.08389737897589777,82.75256475287813,-2.999977907968463,1.1009710397713777,2.105115970322629,0.5060058692989315,0.023163581915289236,2.578309917969719,1.1197969661814227,3.7150849584881507
16:41 P5 aux,37,56.06060606060606,-4.536909386249919,-81.76690497694719,92.18001844640513,0.05558633987613529,79.60129768348047,-4.368618380296803,1.345631011156351,2.572919022769966,0.6184514986853458,0.028311039099762486,3.1512670693976617,1.3686404723283396,4.540658517466772
16:41 P5 aux,38,57.57575757575758,-6.085040778689709,-78.80679431040365,92.89153904297153,0.023014848865929926,75.97580493275683,-5.943221865656678,1.5481313924397906,2.9601106665435424,0.7115205965664018,0.03257149101020536,3.6254927507236374,1.5746034853598756,5.223969970191671
16:41 P5 aux,39,59.09090909090909,-7.654034205122124,-75.80679431040366,93.61264782239148,-0.009995563256503845,72.30145641089194,-7.539044112936182,1.5689934264324146,2.999999999999986,0.72110877941995,0.033010412122433774,3.6743485218648857,1.5958222472795036,5.294366216677492
16:41 P5 aux,40,60.60606060606061,-9.223009545078712,-72.80682889272033,94.33374828927403,-0.043005594853429446,68.62715024485507,-9.134847964472268,1.5689753399565882,2.9999654176833275,0.7211004668825467,0.0330100315969256,3.674306166036871,1.5958038515360862,5.294305186194505
16:41 P5 aux,41,62.121212121212125,-10.66669798751492,-70.046418776053,94.99726694591686,-0.07337968671280445,65.24624730088254,-10.603222589736665,1.4436884424362084,2.7604101166673303,0.6635186566428359,0.030374091859375008,3.3809029439725293,1.4683746252643974,4.871540688619474
16:41 P5 aux,42,63.63636363636363,-11.865726183696864,-67.75381223739794,95.54833984684345,-0.09860631560466827,62.43830215204083,-11.82275342928476,1.1990281961819438,2.2926065386550647,0.5510729009265845,0.02522662889186382,2.8079451488417106,1.219530839548094,4.045966202129813
