trajectory,sample,progress_percent,A1_deg,A2_deg,A3_deg,A4_deg,A5_deg,A6_deg,delta_A1_deg,delta_A2_deg,delta_A3_deg,delta_A4_deg,delta_A5_deg,delta_A6_deg,delta_norm_deg
BASELINE sin afinar,77,17.741935483870968,-14.173577016518323,-63.32216207209258,96.78740562740772,2.4944966604888306,55.22406463938261,-16.731284419930425,8.507837279125852e-06,0.044708494107290164,0.03185334598029499,1.4323944878270654,0.8251337394441265,1.4317458643856025,2.187580709843536
BASELINE sin afinar,78,17.972350230414747,-14.17358892749026,-63.25957018168401,96.83200031082426,4.499848900463052,54.06887742892167,-18.735728587106067,1.1910971936757164e-05,0.06259189040856938,0.04459468341653405,2.005352239974221,1.1551872104609444,2.0044441671756417,3.062612928135455
BASELINE sin afinar,79,18.202764976958527,-14.1736042415962,-63.179094898392876,96.8893363292413,7.078158783053558,52.583636810539396,-21.312870947590476,1.531410594068916e-05,0.08047528329113618,0.05733601841704683,2.5783098825905064,1.4852406183822708,2.577142360484409,3.937644979149695
BASELINE sin afinar,80,18.433179723502302,-14.173622958831972,-63.08073624417166,96.95941366701844,10.229425604935226,50.76834318938764,-24.462710798377,1.871723577195894e-05,0.09835865422121515,0.07007733777713554,3.151266821881668,1.8152936211517527,3.149839850786524,4.81267595603213
BASELINE sin afinar,81,18.663594470046082,-14.173645079198486,-62.964494214193095,97.04223232759495,13.953649520766081,48.62299647637533,-28.18524829405364,2.212036651449978e-05,0.11624202997856514,0.08281866057650689,3.724223915830855,2.145346713012316,3.72253749567664,5.687707169111319
BASELINE sin afinar,82,18.89400921658986,-14.173670602696046,-62.830368806918216,97.13779231206728,18.25083057985261,46.147596643099384,-32.480483483904564,2.552349755902128e-05,0.13412540727487965,0.09555998447233094,4.29718105908653,2.4753998332759437,4.295235189850924,6.562738457492326
BASELINE sin afinar,83,19.12442396313364,-14.173699529323901,-62.678360026244206,97.24609361765881,23.12096865733492,43.34214376148557,-37.348416243126394,2.8926627855696552e-05,0.15200878067400936,0.10830130559153872,4.870138077482309,2.8054528816138102,4.86793275922183,7.437769555184871
BASELINE sin afinar,84,19.35483870967742,-14.173731859082029,-62.50846787229992,97.36713624427776,28.564063749084845,40.20663783391194,-42.789046567592855,3.232975812750283e-05,0.16989215394428925,0.12104262661894438,5.443095091749925,3.1355059275736323,5.440630324466461,8.312800646572814
BASELINE sin afinar,85,19.5852534562212,-14.173767591971146,-62.32069234134202,97.5009201945911,34.58011597503293,36.74107879129227,-48.80237457718018,3.573288911695727e-05,0.18777553095790012,0.13378395031334378,6.016052225948087,3.465559042619674,6.013328009587326,9.187831921121012
BASELINE sin afinar,86,19.81566820276498,-14.173806727993226,-62.11503342296471,97.64744547601266,41.16912566856558,32.945466441578624,-55.388400605123806,3.9136022079944155e-05,0.20565891837730987,0.1465252814215603,6.589009693532645,3.795612349713643,6.586026027943625,10.062863704823403
BASELINE sin afinar,87,20.046082949308754,-14.173849267145114,-61.89149113376678,97.80671207671631,48.33109229788259,28.819801091115604,-62.54712411986435,4.2539151888121296e-05,0.22354228919792973,0.15926660070364562,7.161966629317014,4.12566535046302,7.158723514740544,10.937894676350199
BASELINE sin afinar,88,20.276497695852534,-14.173895209426895,-61.65006547331265,97.97871999701239,56.066015876938444,24.3640827318647,-70.27854513534996,4.5942281781563565e-05,0.2414256604541265,0.1720079202960818,7.734923579055852,4.4557183592509055,7.7314210154856085,11.81292566918853
BASELINE sin afinar,89,20.506912442396313,-14.173944554837888,-61.3907564451508,98.16346923437276,64.37389629204644,19.57831142931535,-78.58266353794544,4.934541099288481e-05,0.25930902816185153,0.1847492373603643,8.307880415107995,4.78577130254935,8.304118402595478,12.687956488402348
BASELINE sin afinar,90,20.737327188940093,-14.17399730338039,-61.11356403723699,98.36095979737851,73.25473392908458,14.462486961181778,-87.45947971335401,5.2748542501035445e-05,0.27719240791380884,0.19749056300575774,8.880837637038141,5.115824468133571,8.876816175408578,13.56298789693652
BASELINE sin afinar,91,20.967741935483872,-14.174053455054224,-60.818488250493424,98.57119168537261,82.70852875850807,9.016609344483298,-96.9089936320443,5.615167383510311e-05,0.29507578674356694,0.2102318879940981,9.453794829423487,5.44587761669848,9.449513918690286,14.438019260349327
BASELINE sin afinar,92,21.19815668202765,-14.174112763656098,-60.50682287770268,98.79324311313387,92.69382955975601,3.2645566385929556,-106.88977284358718,5.9308601873198086e-05,0.3116653727907419,0.22205142776125797,9.985300801247945,5.752052705890343,9.980779211542881,15.249745513843664
BASELINE sin afinar,93,21.428571428571427,-14.174170487761886,-60.20348399630534,99.0093621869554,102.41236180587855,-2.333823502003848,-116.60390429936533,5.772410578863685e-05,0.30333888139734455,0.21611907382153106,9.718532246122535,5.598380140596804,9.714131455778144,14.842331390049866
BASELINE sin afinar,94,21.658986175115206,-14.174224808732761,-59.91802851255089,99.21273992238483,111.55793625687029,-7.602150146822994,-125.74533740938922,5.432097087521015e-05,0.28545548375444696,0.20337773542942728,9.145574450991745,5.268326644819146,9.141433110023897,13.967299106112467
BASELINE sin afinar,95,21.889400921658986,-14.174275726568723,-59.650456426439334,99.40337631942216,120.13055291273207,-12.540423295865011,-134.31407217365978,5.091783596178345e-05,0.2675720861115565,0.1906363970373377,8.57261665586178,4.9382731490420175,8.568734764270559,13.092266822176406
BASELINE sin afinar,96,22.119815668202765,-14.174323241269777,-59.4007677379707,99.5812713780674,128.1302117734629,-17.14864294912931,-142.31010859217594,4.7514701053685826e-05,0.24968868846863046,0.17789505864523392,7.999658860730818,4.6082196532643,7.996036418516155,12.217234538238772
BASELINE sin afinar,97,22.350230414746544,-14.174367352835917,-59.168962447144985,99.74642509832051,135.55691283906276,-21.426809106615853,-149.7334466649377,4.411156614025913e-05,0.23180529082571866,0.16515372025311592,7.426701065599872,4.278166157486542,7.423338072761766,11.34220225430114
BASELINE sin afinar,98,22.580645161290324,-14.174408061267146,-58.955040553962185,99.89883748018151,142.41065610953154,-25.374921768324647,-156.58408639194502,4.070843122860879e-05,0.21392189318279975,0.15241238186099793,6.853743270468783,3.9481126617087945,6.850639727007319,10.467169970363383
