trajectory,joint,n_points,q_min_deg,q_max_deg,q_range_deg,max_delta_deg,mean_delta_deg,rms_delta_deg,planned_accumulated_joint_path_deg,limit_lower_deg,limit_upper_deg,min_joint_margin_to_configured_limits_deg,min_margin_at_progress_percent,out_of_configured_limits_points
PRELIMINAR,A1,435,-165.42532748792092,163.7335313511948,329.15885883911574,13.46393496665243,1.773494303414848,3.5485459094152905,769.696527682044,-170.0,170.0,4.574672512079076,55.06912442396313,0
AFINADA,A1,199,-16.25413218852201,14.723776031289637,30.977908219811646,3.6000000000000565,0.5660418411893245,1.1281430956236629,112.07628455548627,-170.0,170.0,153.74586781147798,71.71717171717172,0
PRELIMINAR,A2,435,-114.55650914148251,-8.795940862455318,105.76056827902718,2.794917572194052,0.5304744619474898,0.8632995045881471,230.22591648521058,-190.0,45.0,53.79594086245532,100.0,0
AFINADA,A2,199,-90.01616590733629,-55.1134380934583,34.90272781387799,2.9999999999999005,0.6435141048507981,0.9563401821744693,127.41579276045802,-190.0,45.0,99.98383409266371,15.656565656565656,0
PRELIMINAR,A3,435,-90.62769963273132,113.12928771576104,203.75698734849237,10.585516465723307,1.4664590922964917,3.062627823310417,636.4432460566774,-119.99999999999999,156.0,29.372300367268664,55.06912442396313,0
AFINADA,A3,199,89.84872260823525,113.04987031404751,23.20114770581226,2.200953648205754,0.34761651435981233,0.5647588658830819,68.82806984324284,-119.99999999999999,156.0,42.95012968595249,66.16161616161617,0
PRELIMINAR,A4,435,-179.96002627432395,180.04777503008748,360.00780130441143,9.985300801247945,3.733061617117729,4.992308248008361,1620.1487418290944,-185.0,185.0,4.952224969912521,25.34562211981567,0
AFINADA,A4,199,-0.17336916935309768,0.1524526833305955,0.3258218526836932,0.06156637946500722,0.008859040775711488,0.01420779131430715,1.7540900735908749,-185.0,185.0,184.8266308306469,83.83838383838383,0
PRELIMINAR,A5,435,-90.0415253579151,58.160340755104535,148.20186611301963,8.173489233300645,1.9723003866057338,2.8420102379692733,855.9783677868885,-119.99999999999999,119.99999999999999,29.95847464208488,8.294930875576037,0
AFINADA,A5,199,-0.018794807961936454,90.2149787406827,90.23377354864463,3.880000000000493,1.3683306448652446,1.9212064831155233,270.9294676833184,-119.99999999999999,119.99999999999999,29.78502125931729,15.656565656565656,0
PRELIMINAR,A6,435,-194.2041622996938,179.9875040705798,374.1916663702736,9.984001286387269,2.9450642858986997,4.36757566951543,1278.1579000800357,-350.0,350.0,155.7958377003062,25.34562211981567,0
AFINADA,A6,199,-23.17993298883942,10.655357326290073,33.83529031512949,3.562153302553853,0.3437086211729101,0.7230611352487519,68.0543069922362,-350.0,350.0,326.8200670111606,42.42424242424242,0
