progreso,A1_error_deg,A2_error_deg,A3_error_deg,A4_error_deg,A5_error_deg,A6_error_deg
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001001001001001001,-0.00012618198522415877,-1.0174074688507062e-05,-9.52069964768043e-05,4.078666599664771e-05,0.05677960131927073,-0.00011134841152558102
0.002002002002002002,-0.00025236397044831754,-2.0348149377014124e-05,-0.00019041399293939776,8.157333199329455e-05,0.11355920263854145,-0.00022269682305116204
0.003003003003003003,-0.0003785459556724763,-3.0522224065521186e-05,-0.00028562098941620206,0.00012235999798994226,0.17033880395781217,-0.00033404523457674306
0.004004004004004004,-0.0005047279408966351,-4.069629875402825e-05,-0.0003808279858787955,0.00016314666398658997,0.2271184052770829,-0.0004453936461023241
0.005005005005005005,-0.0006309099261207939,-5.087037344253531e-05,-0.0004760349823555998,0.0002039333299832368,0.2838980065963536,-0.0005567420576279051
0.006006006006006006,-0.0009979847922274377,-8.046768164149398e-05,-0.0007530007902545321,0.00032258544924621164,0.44907502861605036,-0.0008806647093386864
0.007007007007007007,-0.0013765307478999145,-0.00011098990570701517,-0.0010386217796707342,0.00044494544723615477,0.6194138325738627,-0.0012147099439154296
0.008008008008008008,-0.001755076703572391,-0.00014151212977253635,-0.0013242427690727254,0.0005673054452260979,0.789752636531675,-0.0015487551784921728
0.009009009009009009,-0.002133622659244868,-0.00017203435383805754,-0.0016098637584747166,0.0006896654432160402,0.9600914404894875,-0.0018828004130689165
0.01001001001001001,-0.0025121686149173444,-0.00020255657790357873,-0.0018954847478767078,0.0008120254412059833,1.1304302444472998,-0.00221684564764566
0.011011011011011011,-0.003120136361906474,-0.0002515771195845673,-0.00235420936722619,0.0010085430137352852,1.4040046871674228,-0.002753342539541642
0.012012012012012012,-0.0037510462880272688,-0.00030244749304131346,-0.0028302443495817897,0.001212476343718523,1.687902693763777,-0.0033100845971695478
0.013013013013013013,-0.004381956214148064,-0.0003533178664838488,-0.0033062793319231787,0.0014164096737017606,1.9718007003601314,-0.003866826654797454
0.014014014014014014,-0.0050128661402688585,-0.00040418823994059494,-0.0037823143142645677,0.0016203430036849987,2.2556987069564856,-0.00442356871242536
0.015015015015015015,-0.005643776066389654,-0.00045505861338313025,-0.0042583492966201675,0.0018242763336682368,2.53959671355284,-0.004980310770053266
0.016016016016016016,-0.006492636694261268,-0.0005235023885745704,-0.004898832727405988,0.002098659359463865,2.9215685769733883,-0.005729381902134447
0.017017017017017015,-0.007375910590830378,-0.0005947209114083307,-0.005565281702686775,0.0023841660214403973,3.319025786208283,-0.006508820782813513
0.018018018018018018,-0.008259184487399492,-0.0006659394342278802,-0.006231730677967562,0.0026696726834169304,3.7164829954431786,-0.007288259663492581
0.01901901901901902,-0.009142458383968604,-0.0007371579570616404,-0.0068981796532625594,0.0029551793453934634,4.113940204678075,-0.008067698544171649
0.02002002002002002,-0.010025732280537714,-0.0008083764798954007,-0.007564628628543346,0.0032406860073699952,4.511397413912969,-0.008847137424850715
0.02102102102102102,-0.011115485789291812,-0.0008962434885830817,-0.008386870870779717,0.003592934486431951,5.0017666980339435,-0.009808782797117097
0.022022022022022022,-0.012251123656309246,-0.0009878101607796452,-0.009243733838999901,0.00396001448040178,5.5127831099073825,-0.01081091850084733
0.023023023023023025,-0.01338676152332668,-0.0010793768329904196,-0.010100596807220086,0.004327094474371609,6.023799521780822,-0.011813054204577563
0.024024024024024024,-0.01452239939034411,-0.001170943505201194,-0.01095745977544027,0.004694174468341437,6.534815933654258,-0.012815189908307793
0.025025025025025023,-0.015658037257361538,-0.0012625101773977576,-0.011814322743674666,0.005061254462311265,7.045832345527694,-0.013817325612038025
0.026026026026026026,-0.016988683646998123,-0.0013698004195816793,-0.012818323797347375,0.0054913683946395475,7.644599050349095,-0.014991545224489606
0.02702702702702703,-0.01837668548446387,-0.0014817152411694678,-0.013865600758506957,0.00594002172060267,8.269174664861072,-0.016216377751270997
0.028028028028028028,-0.019764687321929608,-0.0015936300627572564,-0.01491287771966654,0.00638867504656579,8.893750279373048,-0.017441210278052385
0.029029029029029027,-0.02115268915939535,-0.001705544884345045,-0.015960154680826122,0.006837328372528911,9.518325893885024,-0.01866604280483377
0.03003003003003003,-0.022540690996861096,-0.0018174597059328335,-0.017007431641985704,0.007285981698492033,10.142901508397,-0.01989087533161516
0.031031031031031032,-0.024107453234243424,-0.0019437880086314863,-0.018189587133804253,0.007792416970997465,10.847916055779672,-0.02127345372472627
0.03203203203203203,-0.025741250621594464,-0.0020755213667484895,-0.019422322074632348,0.00832052047345626,11.58309520298885,-0.022715186817711026
0.03303303303303303,-0.027375048008945503,-0.002207254724851282,-0.020655057015460443,0.008848623975915055,12.31827435019803,-0.024156919910695778
0.03403403403403403,-0.029008845396296546,-0.002338988082968285,-0.021887791956288538,0.00937672747837385,13.053453497407208,-0.02559865300368053
0.035035035035035036,-0.030642642783647596,-0.0024707214410852885,-0.023120526897116633,0.009904830980832651,13.788632644616392,-0.027040386096665293
0.036036036036036036,-0.032327699606476655,-0.0026065878560928013,-0.024391938174218808,0.010449503421165615,14.546877606689096,-0.028527352720459025
0.037037037037037035,-0.03403667749919545,-0.0027443830310005524,-0.025681398408252676,0.011001908032506526,15.315886615698112,-0.030035428325296945
0.03803803803803804,-0.03574565539191426,-0.0028821782059083034,-0.026970858642286544,0.011554312643847441,16.084895624707134,-0.03154350393013488
0.03903903903903904,-0.037454633284633054,-0.0030199733808018436,-0.02826031887632041,0.012106717255188353,16.85390463371615,-0.0330515795349728
0.04004004004004004,-0.039163611177351856,-0.0031577685557095947,-0.02954977911035428,0.012659121866529264,17.622913642725166,-0.03455965513981072
0.04104104104104104,-0.04087258907007065,-0.003295563730603135,-0.030839239344388147,0.013211526477870175,18.391922651734184,-0.03606773074464864
0.04204204204204204,-0.04258156696278945,-0.003433358905510886,-0.032128699578407804,0.013763931089211087,19.1609316607432,-0.03757580634948656
0.043043043043043044,-0.044290544855508256,-0.003571154080418637,-0.03341815981244167,0.014316335700552003,19.929940669752224,-0.03908388195432449
0.044044044044044044,-0.04599952274822705,-0.003708949255326388,-0.03470762004647554,0.014868740311892914,20.698949678761238,-0.04059195755916241
0.04504504504504504,-0.047708500640945846,-0.003846744430234139,-0.0359970802804952,0.015421144923233826,21.467958687770253,-0.04210003316400033
0.04604604604604605,-0.049417478533664655,-0.00398453960514189,-0.037286540514529065,0.015973549534574742,22.236967696779278,-0.043608108768838263
0.04704704704704705,-0.05112645642638346,-0.004122334780049641,-0.03857600074856293,0.016525954145915654,23.005976705788296,-0.045116184373676184
0.04804804804804805,-0.05283543431910225,-0.004260129954957392,-0.03986546098261101,0.017078358757256565,23.774985714797314,-0.046624259978514104
0.04904904904904905,-0.054544412211821054,-0.004397925129865143,-0.04115492121664488,0.01763076336859748,24.543994723806332,-0.048132335583352025
0.050050050050050046,-0.05625339010453985,-0.004535720304758684,-0.04244438145067875,0.018183167979938387,25.313003732815346,-0.049640411188189945
0.05105105105105105,-0.05796236799725856,-0.004673515479666435,-0.043733841684712615,0.018735572591279274,26.082012741824325,-0.05114848679302779
0.05205205205205205,-0.059671345889977176,-0.004811310654574186,-0.04502330191874648,0.019287977202620123,26.851021750833258,-0.05265656239786555
0.05305305305305305,-0.061380323782695784,-0.004949105829467726,-0.04631276215276614,0.019840381813960972,27.620030759842187,-0.054164638002703304
0.05405405405405406,-0.0630893016754144,-0.005086901004375477,-0.04760222238680001,0.02039278642530183,28.389039768851127,-0.05567271360754107
0.055055055055055056,-0.06479827956813303,-0.005224696179269017,-0.048891682620833876,0.020945191036642684,29.15804877786006,-0.05718078921237883
0.056056056056056056,-0.06650725746085163,-0.005362491354176768,-0.050181142854867744,0.02149759564798353,29.927057786868993,-0.058688864817216586
0.057057057057057055,-0.06821623535357024,-0.005500286529084519,-0.05147060308890161,0.02205000025932438,30.696066795877925,-0.06019694042205435
0.058058058058058054,-0.06992521324628885,-0.0056380817039780595,-0.05276006332293548,0.022602404870665234,31.465075804886858,-0.0617050160268921
0.05905905905905906,-0.07163419113900747,-0.005775876878885811,-0.05404952355696935,0.023154809482006086,32.2340848138958,-0.06321309163172986
0.06006006006006006,-0.07334316903172608,-0.005913672053793562,-0.055338983791003216,0.02370721409334694,33.00309382290473,-0.06472116723656762
0.06106106106106106,-0.07505214692444469,-0.006051467228701313,-0.056628444025037084,0.02425961870468779,33.77210283191366,-0.06622924284140537
0.062062062062062065,-0.07676112481716331,-0.006189262403594853,-0.05791790425907095,0.024812023316028643,34.541111840922596,-0.06773731844624313
0.06306306306306306,-0.07847010270988189,-0.006327057578502604,-0.05920736449310482,0.02536442792736949,35.310120849931515,-0.06924539405108086
0.06406406406406406,-0.08017908060260051,-0.006464852753410355,-0.06049682472713869,0.02591683253871034,36.07912985894045,-0.07075346965591862
0.06506506506506507,-0.08188805849531912,-0.006602647928318106,-0.061786284961172555,0.026469237150051193,36.84813886794939,-0.07226154526075639
0.06606606606606606,-0.08359703638803773,-0.006740443103225857,-0.06307574519520642,0.02702164176139204,37.617147876958306,-0.07376962086559412
0.06706706706706707,-0.08530601428075635,-0.006878238278119397,-0.06436520542922608,0.027574046372732898,38.386156885967246,-0.07527769647043189
0.06806806806806806,-0.08701499217347494,-0.007016033453027148,-0.06565466566325995,0.028126450984073743,39.15516589497618,-0.07678577207526964
0.06906906906906907,-0.08872397006619358,-0.007153828627920689,-0.06694412589729382,0.028678855595414603,39.92417490398512,-0.07829384768010741
0.07007007007007007,-0.0904329479589122,-0.00729162380282844,-0.06823358613131347,0.029231260206755455,40.69318391299405,-0.07980192328494519
0.07107107107107107,-0.0921419258516308,-0.007429418977736191,-0.06952304636534734,0.0297836648180963,41.462192922002984,-0.08130999888978294
0.07207207207207207,-0.09385090374434941,-0.007567214152629731,-0.07081250659938121,0.03033606942943716,42.23120193101192,-0.0828180744946207
0.07307307307307308,-0.09555988163706802,-0.007705009327537482,-0.07210196683341508,0.030888474040778012,43.00021094002085,-0.08432615009945846
0.07407407407407407,-0.09726885952978662,-0.007842804502445233,-0.07339142706744894,0.03144087865211886,43.769219949029775,-0.08583422570429619
0.07507507507507508,-0.09897783742250524,-0.007980599677338773,-0.07468088730148281,0.03199328326345971,44.53822895803871,-0.08734230130913395
0.07607607607607608,-0.10068681531522385,-0.008118394852246524,-0.07597034753551668,0.03254568787480056,45.30723796704765,-0.08885037691397171
0.07707707707707707,-0.10239579320794245,-0.008256190027154275,-0.07725980776955055,0.03309809248614141,46.076246976056574,-0.09035845251880946
0.07807807807807808,-0.10410477110066106,-0.008393985202062026,-0.07854926800358442,0.03365049709748226,46.84525598506551,-0.09186652812364722
0.07907907907907907,-0.10581374899337967,-0.008531780376969778,-0.07983872823760407,0.03420290170882311,47.61426499407444,-0.09337460372848497
0.08008008008008008,-0.10752272688609829,-0.008669575551877529,-0.08112818847163794,0.034755306320163964,48.38327400308338,-0.09488267933332273
0.08108108108108109,-0.1092317047788169,-0.00880737072678528,-0.08241764870567181,0.03530771093150482,49.15228301209232,-0.0963907549381605
0.08208208208208208,-0.11094068267153549,-0.00894516590167882,-0.08370710893970568,0.03586011554284566,49.921292021101245,-0.09789883054299825
0.08308308308308308,-0.11264966056425411,-0.009082961076586571,-0.08499656917373954,0.03641252015418652,50.69030103011018,-0.09940690614783601
0.08408408408408408,-0.11435863845697271,-0.009220756251480111,-0.08628602940777341,0.03696492476552737,51.4593100391191,-0.10091498175267376
0.08508508508508508,-0.11606761634969133,-0.009358551426387862,-0.08757548964180728,0.03751732937686822,52.228319048128036,-0.10242305735751153
0.08608608608608609,-0.11777659424240995,-0.009496346601281402,-0.08886494987584115,0.03806973398820908,52.997328057136976,-0.10393113296234929
0.08708708708708708,-0.11948557213512855,-0.009634141776189153,-0.09015441010987502,0.038622138599549924,53.7663370661459,-0.10543920856718704
0.08808808808808809,-0.12119455002784717,-0.009771936951096905,-0.09144387034390888,0.039174543210890776,54.53534607515484,-0.1069472841720248
0.0890890890890891,-0.12290352792056579,-0.009909732125990445,-0.09273333057792854,0.03972694782223163,55.30435508416378,-0.10845535977686256
0.09009009009009009,-0.1246125058132844,-0.010047527300898196,-0.09402279081196241,0.04027935243357248,56.07336409317271,-0.10996343538170031
0.09109109109109109,-0.12632148370600302,-0.010185322475805947,-0.09531225104599628,0.04083175704491333,56.84237310218165,-0.11147151098653807
0.0920920920920921,-0.12803046159872164,-0.010323117650699487,-0.09660171128003014,0.04138416165625419,57.611382111190586,-0.11297958659137584
0.09309309309309309,-0.12973943949144023,-0.010460912825607238,-0.09789117151406401,0.04193656626759504,58.38039112019952,-0.11448766219621359
0.0940940940940941,-0.13144841738415888,-0.01059870800051499,-0.09918063174808367,0.0424889708789359,59.14940012920846,-0.11599573780105137
0.09509509509509509,-0.13315739527687748,-0.01073650317542274,-0.10047009198211754,0.04304137549027674,59.918409138217385,-0.11750381340588911
0.0960960960960961,-0.1348663731695961,-0.01087429835031628,-0.1017595522161514,0.0435937801016176,60.687418147226325,-0.11901188901072689
0.0970970970970971,-0.13657535106231472,-0.011012093525224032,-0.10304901245018527,0.044146184712958454,61.45642715623526,-0.12051996461556465
0.0980980980980981,-0.13828432895503331,-0.011149888700131783,-0.10433847268421914,0.0446985893242993,62.225436165244176,-0.12202804022040238
0.0990990990990991,-0.13999330684775194,-0.011287683875025323,-0.10562793291826722,0.04525099393564015,62.99444517425311,-0.12353611582524014
0.10010010010010009,-0.14170228474047053,-0.011425479049933074,-0.10691739315230109,0.045803398546981,63.763454183262034,-0.1250441914300779
0.1011011011011011,-0.14341126263318918,-0.011563274224840825,-0.10820685338633496,0.046355803158321864,64.532463192271,-0.12655226703491568
0.1021021021021021,-0.1451202405259082,-0.011701069399748576,-0.10949631362036882,0.046908207769662834,65.30147220128009,-0.12806034263975377
0.1031031031031031,-0.14682921841862714,-0.011838864574642116,-0.11078577385440269,0.047460612381003804,66.0704812102892,-0.12956841824459184
0.1041041041041041,-0.14853819631134615,-0.011976659749549867,-0.11207523408842235,0.04801301699234478,66.83949021929831,-0.13107649384942996
0.10510510510510511,-0.15024717420406514,-0.012114454924457618,-0.11336469432245622,0.04856542160368576,67.60849922830741,-0.13258456945426805
0.1061061061061061,-0.15195615209678412,-0.012252250099351158,-0.11465415455649008,0.04911782621502673,68.37750823731652,-0.13409264505910612
0.10710710710710711,-0.15366512998950313,-0.01239004527425891,-0.11594361479052395,0.049670230826367706,69.14651724632563,-0.13560072066394424
0.10810810810810811,-0.1553741078822221,-0.01252784044915245,-0.11723307502455782,0.05022263543770868,69.91552625533474,-0.13710879626878233
0.1091091091091091,-0.1570830857749411,-0.0126656356240602,-0.11852253525859169,0.050775040049049654,70.68453526434384,-0.1386168718736204
0.11011011011011011,-0.1587920636676601,-0.012803430798953741,-0.11981199549262556,0.05132744466039063,71.45354427335295,-0.14012494747845852
0.1111111111111111,-0.1605010415603791,-0.012941225973861492,-0.12110145572665942,0.0518798492717316,72.22255328236204,-0.1416330230832966
0.11211211211211211,-0.16221001945309807,-0.013079021148769243,-0.12239091596069329,0.05243225388307257,72.99156229137115,-0.14314109868813468
0.11311311311311312,-0.16391899734581708,-0.013216816323676994,-0.12368037619472716,0.05298465849441355,73.76057130038026,-0.14464917429297278
0.11411411411411411,-0.16562797523853603,-0.013354611498584745,-0.12496983642876103,0.05353706310575451,74.52958030938936,-0.14615724989781084
0.11511511511511512,-0.16733695313125502,-0.013492406673492496,-0.1262592966627949,0.05408946771709549,75.29858931839846,-0.14766532550264894
0.11611611611611611,-0.169045931023974,-0.013630201848400247,-0.12754875689682876,0.05464187232843645,76.06759832740755,-0.14917340110748703
0.11711711711711711,-0.1706875715414644,-0.01376256759941441,-0.1287874096464634,0.05517251101948651,76.80630674071298,-0.15062205531588185
0.11811811811811812,-0.17232600551727728,-0.013894674806422813,-0.1300236429920716,0.05570211323814176,77.5435722685087,-0.15206787993396984
0.11911911911911911,-0.1739644394930901,-0.014026782013445427,-0.13125987633767977,0.056231715456797005,78.28083779630441,-0.15351370455205782
0.12012012012012012,-0.17560287346890296,-0.01415888922046804,-0.13249610968330217,0.05676131767545225,79.01810332410012,-0.1549595291701458
0.12112112112112113,-0.17724130744471583,-0.014290996427490654,-0.13373234302891035,0.0572909198941075,79.75536885189585,-0.1564053537882338
0.12212212212212212,-0.17865762121352072,-0.014405194044854852,-0.13480098194551715,0.057748724679252364,80.3926843212386,-0.15765516998107684
