trajectory_id,trajectory_received_time_iso,trajectory_received_time_ros_s,segment_index,point_index,point_count,time_from_start_s,trajectory_duration_s,joint_a1_position_rad,joint_a1_position_deg,joint_a1_velocity_rad_s,joint_a1_velocity_deg_s,joint_a1_acceleration_rad_s2,joint_a1_acceleration_deg_s2,joint_a2_position_rad,joint_a2_position_deg,joint_a2_velocity_rad_s,joint_a2_velocity_deg_s,joint_a2_acceleration_rad_s2,joint_a2_acceleration_deg_s2,joint_a3_position_rad,joint_a3_position_deg,joint_a3_velocity_rad_s,joint_a3_velocity_deg_s,joint_a3_acceleration_rad_s2,joint_a3_acceleration_deg_s2,joint_a4_position_rad,joint_a4_position_deg,joint_a4_velocity_rad_s,joint_a4_velocity_deg_s,joint_a4_acceleration_rad_s2,joint_a4_acceleration_deg_s2,joint_a5_position_rad,joint_a5_position_deg,joint_a5_velocity_rad_s,joint_a5_velocity_deg_s,joint_a5_acceleration_rad_s2,joint_a5_acceleration_deg_s2,joint_a6_position_rad,joint_a6_position_deg,joint_a6_velocity_rad_s,joint_a6_velocity_deg_s,joint_a6_acceleration_rad_s2,joint_a6_acceleration_deg_s2
1,2026-08-19 22:21:07.668,1787178067.6683352,0,0,5,0.0,0.31846778800000003,0.0,0.0,-0.0,-0.0,0.0,0.0,-1.5708,-90.00021045914971,-0.0,-0.0,0.0,0.0,1.5708,90.00021045914971,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,1.5708,90.00021045914971,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
1,2026-08-19 22:21:07.668,1787178067.6683352,0,1,5,0.1,0.31846778800000003,-4.95170656487084e-05,-0.002837118875543219,-0.0009903413129741607,-0.056742377510863966,-0.009903413129734214,-0.5674237751082161,-1.5758,-90.28668935671513,-0.09999999999999921,-5.729577951308188,-0.9999999999992506,-57.295779513039385,1.5752636119336563,90.25595658433245,0.08927223867312778,5.11492250365479,0.8927223867306116,51.149225036509726,-0.0005022963104123577,-0.028779458651621202,-0.010045926208247078,-0.5755891730324197,-0.10045926208239492,-5.755891730319851,1.5702209878717805,89.96703550791585,-0.01158024256438969,-0.6634990246772827,-0.11580242564380944,-6.634990246767816,-0.00029039876182076856,-0.016638623428154864,-0.005807975236415329,-0.3327724685630949,-0.05807975236410989,-3.3277246856284624
1,2026-08-19 22:21:07.668,1787178067.6683352,0,2,5,0.2,0.31846778800000003,-0.00018161002277717052,-0.01040548782240662,-0.001173235450196107,-0.06722143967136802,0.009903413129732423,0.5674237751081134,-1.5891381244827365,-91.05090759619604,-0.11846778830953496,-6.787704278385626,0.9999999999990613,57.29577951302854,1.587170854256404,90.93819131506544,0.10575884673046465,6.05953556382657,-0.8927223867304451,-51.14922503650019,-0.0018422344535122185,-0.10555225905983978,-0.011901186594118334,-0.6818877630406552,0.1004592620823771,5.7558917303188295,1.5686764007031395,89.87853718206266,-0.01371885724691195,-0.7860326199905187,0.11580242564378901,6.6349902467666455,-0.0010650737287803632,-0.06102422952937613,-0.006880579808146779,-0.3942281836097441,0.05807975236409821,3.3277246856277927
1,2026-08-19 22:21:07.668,1787178067.6683352,0,3,5,0.30000000000000004,0.31846778800000003,-0.00024941650214807244,-0.014290512914000183,-0.00018289413722193646,-0.010479062160503495,0.009903413129737443,0.567423775108401,-1.5959849033136901,-91.4431991264692,-0.018467788309534747,-1.0581263270773822,0.9999999999995762,57.295779513058044,1.593283126995794,91.28839874626536,0.01648660805733598,0.9446130601717287,-0.8927223867309052,-51.14922503652655,-0.002530056802511691,-0.1449615767122839,-0.001855260385871156,-0.10629859000822979,0.1004592620824286,5.75589173032178,1.5678835271066678,89.83310887129747,-0.002138614682522143,-0.12253359531322926,0.11580242564384913,6.63499024677009,-0.0014627329477742703,-0.08380842446219555,-0.0010726045717313918,-0.06145571504664592,0.058079752364129045,3.3277246856295597
1,2026-08-19 22:21:07.668,1787178067.6683352,0,4,5,0.31846778800000003,0.31846778800000003,-0.0002511053272527073,-0.0143872754648315,-1.685494427404719e-19,-9.657171708310971e-18,0.009903413129693131,0.5674237751058622,-1.5961554329162129,-91.45296975297579,-1.701932864279774e-17,-9.751357013784259e-16,0.9999999999950973,57.29577951280142,1.5934353625895665,91.29712120328018,1.5193535686562515e-17,8.705254707214337e-16,-0.8927223867269078,-51.14922503629752,-0.002547188080544358,-0.1459431266412209,-1.7097491965945334e-18,-9.796141299075002e-17,0.10045926208197903,5.755891730296022,1.5678637793650514,89.83197740904794,-1.9708795396666458e-18,-1.129230795515853e-16,0.11580242564333006,6.634990246740349,-0.0014726372648595576,-0.08437590003014182,-9.884783929778416e-19,-5.663564005750435e-17,0.05807975236386898,3.327724685614659
2,2026-08-19 22:21:09.569,1787178069.5695345,0,0,5,0.0,0.307665958,-0.0002511053272527073,-0.0143872754648315,-0.0,-0.0,0.0,0.0,-1.5961554329162129,-91.45296975297579,0.0,0.0,0.0,0.0,1.5934353625895665,91.29712120328018,-0.0,-0.0,0.0,0.0,-0.002547188080544358,-0.1459431266412209,0.0,0.0,0.0,0.0,1.5678637793650514,89.83197740904794,0.0,0.0,0.0,0.0,-0.0014726372648595576,-0.08437590003014182,-0.0,-0.0,0.0,0.0
2,2026-08-19 22:21:09.569,1787178069.5695345,0,1,5,0.1,0.307665958,-0.0005490056730747355,-0.0314557079959214,-0.005958006916440534,-0.34136865062179633,-0.059580069164372806,-3.4136865062160995,-1.591155432916213,-91.16649085541039,0.0999999999999995,5.729577951308204,0.9999999999994449,57.29577951305052,1.5885423549514794,91.01677251649252,-0.09786015276174259,-5.606973735753358,-0.9786015276168879,-56.06973735750275,-0.0013304863652737063,-0.07623125342988459,0.024334034305412915,1.3942374642267197,0.24334034305399588,13.942374642259562,1.5689168625585816,89.89231463151337,0.021061663870601863,1.2067444493086563,0.2106166387059015,12.067444493079853,-0.0018284548104349208,-0.10476274366831395,-0.007116350911507223,-0.40773687276344023,-0.07116350911503361,-4.07736872763219
2,2026-08-19 22:21:09.569,1787178069.5695345,0,2,5,0.2,0.307665958,-0.0013157180975107996,-0.07538509401635092,-0.006414745250533209,-0.36753782950714275,0.05958006916452203,3.413686506224649,-1.5782868271024064,-90.42917405406176,0.10766595844043618,6.168805015867916,-1.0000000000019111,-57.295779513191825,1.5759491176437816,90.29523316835474,-0.10536207140220566,-6.036802012102412,0.9786015276192866,56.069737357640186,0.0018009645880863465,0.10318766994986443,0.02619947126214748,1.5011191287953387,-0.2433403430546008,-13.942374642294222,1.5716272050599183,90.0476058178749,0.022676242269786675,1.2992529772749348,-0.21061663870642727,-12.067444493109978,-0.002744229957564016,-0.1572327945817831,-0.007661887414859005,-0.4389938119758218,0.07116350911520859,4.077368727642216
2,2026-08-19 22:21:09.569,1787178069.5695345,0,3,5,0.30000000000000004,0.307665958,-0.0016592922767420962,-0.09507044443597552,-0.0004567383340926325,-0.026169178885344004,0.05958006916438382,3.41368650621673,-1.5725202312583628,-90.09877245004039,0.007665958440435942,0.43922706455967014,-0.9999999999996313,-57.2957795130612,1.570305918141648,89.97190165393216,-0.00750191864046235,-0.4298282763490131,0.9786015276170708,56.069737357513226,0.0032042099990304577,0.18358770961806284,0.0018654369567343882,0.10688166456860879,-0.24334034305404068,-13.942374642262129,1.5728417460933668,90.11719389313696,0.0016145783991846588,0.09250852796626963,-0.21061663870594194,-12.067444493082169,-0.0031546011534745576,-0.18074533214119343,-0.0005455365033517306,-0.031256939212378654,0.07116350911504657,4.0773687276329325
2,2026-08-19 22:21:09.569,1787178069.5695345,0,4,5,0.307665958,0.307665958,-0.0016610429452857507,-0.09517075035485323,-3.502164653862817e-19,-2.0065925382623426e-17,0.05958006916438869,3.4136865062170094,-1.5724908477989574,-90.09708890182895,5.8780808800320815e-18,3.3678922606238303e-16,-0.9999999999997157,-57.29577951306603,1.5702771634433876,89.97025413108067,-5.7522989286582065e-18,-3.2958245110974026e-16,0.9786015276171525,56.06973735751791,0.0032113601801222495,0.18399738481737674,1.430374217846931e-18,8.195440580695534e-17,-0.24334034305406113,-13.9423746422633,1.5728479347388202,90.11754847640233,1.238021636994479e-18,7.09334147456609e-17,-0.21061663870595979,-12.067444493083192,-0.003156692183555776,-0.18086513933968212,-4.183048622852968e-19,-2.396710315874863e-17,0.07116350911505234,4.077368727633263
