joint,metric,depends_on_discretisation,raw,restricted,tuned,raw_to_restricted_abs,raw_to_restricted_pct,restricted_to_tuned_abs,restricted_to_tuned_pct,raw_to_tuned_abs,raw_to_tuned_pct
A1,q_range_deg,False,333.06922608600536,30.849285244519024,30.977908219811646,-302.21994084148633,-90.73787584429878,0.1286229752926218,0.416939887822763,-302.0913178661937,-90.69925835423399
A1,planned_accumulated_joint_path_deg,False,1080.0267556058275,111.44134325409674,112.07628455548627,-968.5854123517307,-89.68161273082674,0.6349413013895315,0.5697538120496319,-967.9504710503412,-89.62282332601858
A1,min_joint_margin_to_configured_limits_deg,False,0.6655063779659258,153.73197658263678,153.74586781147798,153.06647020467085,23000.00049173201,0.013891228841202974,0.009036004837767704,153.08036143351205,23002.087808893968
A1,max_delta_deg,True,13.583957000466638,4.044471977542601,3.6000000000000565,-9.539485022924037,-70.22611322014885,-0.44447197754254475,-10.98961693913388,-9.983957000466582,-73.49814932514592
A1,rms_delta_deg,True,3.737560884151538,0.8175083650721943,1.1281430956236629,-2.9200525190793436,-78.12722279552172,0.3106347305514686,37.9977433654806,-2.609417788527875,-69.81606104646073
A2,q_range_deg,False,117.75818246086791,81.2089406997402,34.90272781387799,-36.54924176112772,-31.03753896105976,-46.30621288586221,-57.02107734303983,-82.85545464698993,-70.36067720773758
A2,planned_accumulated_joint_path_deg,False,341.5920724691373,147.3041025608613,127.41579276045802,-194.28796990827598,-56.87718936329526,-19.88830980040329,-13.501531494810935,-214.17627970867926,-62.699429222857624
A2,min_joint_margin_to_configured_limits_deg,False,53.80408904827893,53.79856404473799,99.98383409266371,-0.005525003540945761,-0.010268742838463674,46.18527004792573,85.84851820490752,46.17974504438478,85.82943389850398
A2,max_delta_deg,True,3.9737185086832056,3.361780778017902,2.9999999999999005,-0.6119377306653035,-15.399624541298596,-0.36178077801800157,-10.761581492274063,-0.9737185086833051,-24.503962889056577
A2,rms_delta_deg,True,1.0890692669352902,0.8173436555569388,0.9563401821744693,-0.2717256113783514,-24.950259788617895,0.13899652661753048,17.005885550407573,-0.1327290847608209,-12.187386862392044
A3,q_range_deg,False,203.76204156713334,193.63358825399143,23.20114770581226,-10.128453313141904,-4.970726262479506,-170.43244054817916,-88.01801489348064,-180.56089386132106,-88.61360657393678
A3,planned_accumulated_joint_path_deg,False,977.0771925179793,239.75695022931217,68.82806984324284,-737.320242288667,-75.46182102445295,-170.92888038606932,-71.29256533443005,-908.2491226747364,-92.95571830247421
A3,min_joint_margin_to_configured_limits_deg,False,29.392059907573213,39.515543430956455,42.95012968595249,10.123483523383243,34.44291946606575,3.4345862549960344,8.691734838462025,13.558069778379277,46.128341535143235
A3,max_delta_deg,True,10.11722912940053,5.734800000000863,2.200953648205754,-4.382429129399666,-43.316495785040466,-3.533846351795109,-61.621091438142166,-7.916275481194775,-78.24548974768385
A3,rms_delta_deg,True,3.375733369206042,1.7759021753745603,0.5647588658830819,-1.5998311938314818,-47.392107695038575,-1.2111433094914785,-68.19876265065294,-2.81097450332296,-83.27003930361033
A4,q_range_deg,False,360.10999339674447,0.11753802007759712,0.3258218526836932,-359.9924553766669,-99.96736052255343,0.20828383260609606,177.20549696905707,-359.78417154406077,-99.90952157433611
A4,planned_accumulated_joint_path_deg,False,1620.3206443932745,0.5291185439140202,1.7540900735908749,-1619.7915258493606,-99.96734482488112,1.2249715296768546,231.51173659789703,-1618.5665543196835,-99.89174426187431
A4,min_joint_margin_to_configured_limits_deg,False,4.937681861344544,184.92486039450463,184.8266308306469,179.9871785331601,3645.1756833954687,-0.09822956385772841,-0.053118636211579626,179.88894896930236,3643.1862971487217
A4,max_delta_deg,True,14.113582762956897,0.018638532961009178,0.06156637946500722,-14.094944229995887,-99.86793903947672,0.04292784650399804,230.31773259086873,-14.052016383491889,-99.56377922956177
A4,rms_delta_deg,True,5.034674115993658,0.003639119022068225,0.01420779131430715,-5.03103499697159,-99.9277188763716,0.010568672292238925,290.41842896999884,-5.020466324679351,-99.71780117268816
A5,q_range_deg,False,179.2950465125282,90.01106440872859,90.23377354864463,-89.2839821037996,-49.7972385966396,0.22270913991604857,0.2474241821036081,-89.06127296388355,-49.6730248248439
A5,planned_accumulated_joint_path_deg,False,767.8563196616517,243.50256609911705,270.9294676833184,-524.3537535625346,-68.28800390593723,27.426901584201374,11.263495914469061,-496.9268519783333,-64.7161245214859
A5,min_joint_margin_to_configured_limits_deg,False,29.9925313849121,29.992851591271403,29.78502125931729,0.00032020635930507524,0.0010676203191910527,-0.2078303319541135,-0.6929328854299296,-0.20751012559480841,-0.6918726630030217
A5,max_delta_deg,True,7.037515096396376,6.180840000000423,3.880000000000493,-0.8566750963959535,-12.17297703325172,-2.30083999999993,-37.22536095417083,-3.1575150963958833,-44.86690334792628
A5,rms_delta_deg,True,2.3173172371533024,1.498689121115265,1.9212064831155233,-0.8186281160380373,-35.32654497679727,0.42251736200025825,28.19246206884037,-0.39611075403777907,-17.093505700772305
A6,q_range_deg,False,537.9709417168805,360.07929336078143,33.83529031512949,-177.89164835609904,-33.06714816015445,-326.24400304565194,-90.60337793952839,-504.135651401751,-93.71057287831428
A6,planned_accumulated_joint_path_deg,False,1615.664535468364,770.2829991156196,68.0543069922362,-845.3815363527443,-52.3240758086998,-702.2286921233834,-91.1650254425489,-1547.6102284761278,-95.78784422766896
A6,min_joint_margin_to_configured_limits_deg,False,6.179688227189672,13.10106992971589,326.8200670111606,6.921381702526219,112.00211803684869,313.7189970814447,2394.6059273362566,320.6403787839709,5188.617402625635
A6,max_delta_deg,True,14.109678823169759,9.79695000000072,3.562153302553853,-4.312728823169039,-30.565747648961565,-6.234796697446868,-63.64018084655336,-10.547525520615906,-74.75383141461465
A6,rms_delta_deg,True,4.934654045326466,4.5045897221491,0.7230611352487519,-0.4300643231773664,-8.715186905243613,-3.7815285869003477,-83.9483464677492,-4.211592910077714,-85.347278074467
