trajectory,sample,progress_percent,A1_deg,A2_deg,A3_deg,A4_deg,A5_deg,A6_deg,delta_A1_deg,delta_A2_deg,delta_A3_deg,delta_A4_deg,delta_A5_deg,delta_A6_deg,delta_norm_deg
MoveIt2 Base RAW,12,4.511278195488722,-0.010504799910293862,-90.07889864758818,89.9376429269171,0.0004287880675964909,41.249035216522344,-0.011156717983505678,0.0016778497823341995,0.012601865795900835,0.009959809077045634,0.0008571952124691786,6.5890122430089235,0.0017821352952783337,6.589032331785116
MoveIt2 Base RAW,13,4.887218045112782,-0.012296399387167119,-90.0923548558884,89.92700789336399,0.0013440967623364484,48.284749028317535,-0.013059673001502677,0.0017915994768732575,0.013456208300226535,0.010635033553114681,0.0009153086947399575,7.0357138117951905,0.0019029550179969993,7.035735262488392
MoveIt2 Base RAW,14,5.2631578947368425,-0.013983171427090855,-90.10502373429406,89.91699512127258,0.0022058502592067057,54.90879948816311,-0.014851285110695639,0.0016867720399237358,0.012668878405662554,0.01001277209141449,0.0008617534968702572,6.624050459845577,0.0017916121091929617,6.624070655447326
MoveIt2 Base RAW,15,5.639097744360902,-0.015524043432776986,-90.1165967978834,89.90784841985129,0.002993065014787753,60.959892152877806,-0.016487928876873156,0.0015408720056861308,0.011573063589338517,0.009146701421286707,0.0007872147555810474,6.0510926647146945,0.0016366437661775174,6.051111113465703
MoveIt2 Base RAW,16,6.015037593984962,-0.016919015404225506,-90.12707404665639,89.89956778910009,0.0037057410290795905,66.43802702246164,-0.017969604300035226,0.0013949719714485206,0.010477248772986059,0.008280630751201556,0.0007126760142918374,5.478134869583833,0.0014816754231620696,5.478151571484101
MoveIt2 Base RAW,17,6.390977443609023,-0.01816808734143643,-90.13645548061305,89.89215322901903,0.004343878302082221,71.34320409691462,-0.01929631138018186,0.0012490719372109244,0.009381433956662022,0.0074145600810595624,0.0006381372730026305,4.905177074452979,0.0013267070801466357,4.9051920295025075
MoveIt2 Base RAW,18,6.7669172932330826,-0.019271259244409752,-90.14474109975336,89.88560473960807,0.004907476833795646,75.67542337623676,-0.020468050117313057,0.0011031719029733211,0.008285619140309564,0.006548489410960201,0.0005635985317134252,4.332219279322146,0.001171738737131195,4.332232487520934
MoveIt2 Base RAW,19,7.142857142857143,-0.020228531113145473,-90.15193090407733,89.87992232086724,0.0053965366242198646,79.43468486042805,-0.02148482051142881,0.0009572718687357214,0.007189804323971316,0.005682418740832418,0.0004890597904242183,3.759261484191285,0.001016770394115754,3.7592729455393323
MoveIt2 Base RAW,20,7.518796992481203,-0.021039902947643588,-90.15802489358495,89.87510597279653,0.005811057673354873,82.62098854948847,-0.022346622562529117,0.0008113718344981147,0.006093989507618858,0.004816348070704635,0.0004145210491350087,3.1863036890604235,0.0008618020511003063,3.186313403557731
MoveIt2 Base RAW,21,7.894736842105263,-0.0217053747479041,-90.16302306827623,89.87115569539594,0.006151039981200675,85.23433444341805,-0.023053456270613993,0.0006654718002605114,0.00499817469128061,0.003950277400591062,0.00033998230784580176,2.6133458939295764,0.0007068337080848759,2.6133538615761434
MoveIt2 Base RAW,22,8.270676691729323,-0.022224946513927007,-90.16692542815117,89.86807148866545,0.006416483547757268,87.27472254221678,-0.023605321635683418,0.0005195717660229082,0.0039023598749423627,0.003084206730491701,0.00026544356655659306,2.0403880987987293,0.0005518653650694247,2.040394319594556
